,Items bought together,Confidence
0,"cereals, spaghetti, ground beef",67.64705882352942
1,"cereals, nan, spaghetti, ground beef",67.64705882352942
2,"olive oil, tomatoes, spaghetti",61.111111111111114
3,"olive oil, tomatoes, nan, spaghetti",61.111111111111114
4,"tomato sauce, spaghetti, ground beef",57.50000000000001
5,"tomato sauce, nan, spaghetti, ground beef",57.50000000000001
6,"cooking oil, spaghetti, ground beef",57.14285714285714
7,"cooking oil, nan, spaghetti, ground beef",57.14285714285714
8,"spaghetti, tomatoes, mineral water, ground beef",56.09756097560976
9,"tomatoes, mineral water, nan, spaghetti, ground beef",56.09756097560976
10,"spaghetti, chocolate, frozen vegetables, ground beef",53.48837209302326
11,"spaghetti, milk, frozen vegetables, ground beef",53.48837209302326
12,"ground beef, nan, spaghetti, frozen vegetables, chocolate",53.48837209302326
13,"milk, ground beef, nan, spaghetti, frozen vegetables",53.48837209302326
14,"red wine, spaghetti, eggs",52.83018867924528
15,"red wine, nan, spaghetti, eggs",52.83018867924528
16,"shrimp, spaghetti, ground beef",52.32558139534884
17,"shrimp, nan, spaghetti, ground beef",52.32558139534884
18,"milk, soup, frozen vegetables",50.0
19,"milk, soup, nan, frozen vegetables",50.0
20,"spaghetti, frozen smoothie, milk, mineral water",47.05882352941177
21,"mineral water, milk, nan, spaghetti, frozen smoothie",47.05882352941177
22,"milk, whole wheat pasta, spaghetti",45.45454545454546
23,"milk, whole wheat pasta, nan, spaghetti",45.45454545454546
24,"chocolate, herb & pepper, ground beef",44.117647058823536
25,"chocolate, nan, herb & pepper, ground beef",44.117647058823536
26,"spaghetti, chocolate, milk, frozen vegetables",44.06779661016949
27,"milk, nan, spaghetti, frozen vegetables, chocolate",44.06779661016949
28,"avocado, milk, spaghetti",41.666666666666664
29,"avocado, milk, nan, spaghetti",41.666666666666664
30,"milk, mineral water, frozen vegetables, eggs",41.1764705882353
31,"eggs, mineral water, milk, nan, frozen vegetables",41.1764705882353
32,"milk, soup, ground beef",41.09589041095891
33,"chocolate, milk, mineral water, frozen vegetables",41.09589041095891
34,"milk, soup, nan, ground beef",41.09589041095891
35,"mineral water, milk, nan, frozen vegetables, chocolate",41.09589041095891
36,"chicken, milk, ground beef",40.84507042253521
37,"chicken, nan, milk, ground beef",40.84507042253521
38,"milk, mineral water, frozen vegetables, ground beef",40.57971014492753
39,"mineral water, milk, nan, frozen vegetables, ground beef",40.57971014492753
40,"olive oil, whole wheat pasta, mineral water",40.27777777777778
41,"olive oil, whole wheat pasta, nan, mineral water",40.27777777777778
42,"olive oil, milk, nan, shrimp",40.0
43,"chocolate, milk, soup",39.47368421052632
44,"chocolate, milk, soup, nan",39.47368421052632
45,"herb & pepper, spaghetti, ground beef",39.344262295081975
46,"olive oil, milk, shrimp",39.344262295081975
47,"nan, herb & pepper, spaghetti, ground beef",39.344262295081975
48,"milk, herb & pepper, ground beef",39.13043478260869
49,"milk, nan, herb & pepper, ground beef",39.13043478260869
50,"herb & pepper, mineral water, ground beef",39.06250000000001
51,"nan, herb & pepper, mineral water, ground beef",39.06250000000001
52,"tomato sauce, ground beef",37.73584905660377
53,"tomato sauce, nan, ground beef",37.73584905660377
54,"escalope, pasta",37.28813559322034
55,"pasta, escalope, nan",37.28813559322034
56,"spaghetti, mineral water, frozen vegetables, ground beef",36.66666666666667
57,"mineral water, ground beef, nan, spaghetti, frozen vegetables",36.66666666666667
58,"chocolate, mineral water, frozen vegetables, ground beef",34.24657534246576
59,"mineral water, nan, frozen vegetables, ground beef, chocolate",34.24657534246576
60,"pepper, spaghetti, ground beef",33.78378378378378
61,"pepper, nan, spaghetti, ground beef",33.78378378378378
62,"chocolate, mineral water, frozen vegetables, shrimp",32.87671232876713
63,"mineral water, shrimp, nan, frozen vegetables, chocolate",32.87671232876713
64,"herb & pepper, ground beef",32.345013477088955
65,"nan, herb & pepper, ground beef",32.345013477088955
66,"grated cheese, spaghetti, ground beef",32.25806451612903
67,"grated cheese, nan, spaghetti, ground beef",32.25806451612903
